Time, Date, Humidity %, Air Pressure hPa, Air Temp *C, Water EC ms/cm, Water Temp *C, Battery Voltage 
00:00:00,00/00/2000,-99.00,-99.00,-99.00,24.60,-127.00,0.00 
00:00:00,00/00/2000,-99.00,-99.00,-99.00,23.76,-127.00,0.00 
00:00:00,00/00/2000,-99.00,-99.00,-99.00,25.62,-127.00,0.00 
00:00:00,00/00/2000,-99.00,-99.00,-99.00,25.49,-127.00,0.00
